protocol,link_layer,blocksize,network_setup,data_format,dns_format,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coap,eth,1024,d1,json,dns_cbor,0.2,nb,,24214,7,19997,5121,0.5945600843146396,0.5476917509217163,0.9997109945914702,0.7076806172550854
coap,eth,1024,d1,json,dns_cbor,0.2,lr,max_iter=2800,24175,1,2,25161,0.9999391961734125,0.9999172767506308,0.9999586366644606,0.9999379562798585
coap,eth,1024,d1,json,dns_cbor,0.2,knn,"algorithm=brute,n_jobs=-1",24219,2,0,25118,0.9999594641156083,1.0,0.9999174270261344,0.9999587118084228
coap,eth,1024,d1,json,dns_cbor,0.2,dt,,24220,1,1,25117,0.9999594641156083,0.9999587135130672,0.9999587135130672,0.9999587135130672
coap,eth,1024,d1,json,dns_cbor,0.2,rf,"n_estimators=250,max_depth=9",24220,1,0,25118,0.9999797320578042,1.0,0.9999587135130672,0.9999793563303813
