protocol,link_layer,blocksize,network_setup,data_format,dns_format,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,1024,p2,json,dns_message,0.2,nb,,22712,1696,9819,15111,0.7666099152782845,0.6981648273954074,0.9305145853818421,0.7977660303131421
coaps,eth,1024,p2,json,dns_message,0.2,lr,max_iter=5000,22366,2042,4489,20441,0.867627386598565,0.8328430459877117,0.9163389052769584,0.8725981702202368
coaps,eth,1024,p2,json,dns_message,0.2,knn,algorithm=brute,21454,2954,5194,19736,0.834853459807856,0.8050885619933954,0.878974106850213,0.8404105296145409
coaps,eth,1024,p2,json,dns_message,0.2,svm,C=0.01,22400,2008,4554,20376,0.8669990676557623,0.8310454849002004,0.9177318911832186,0.872240177563179
coaps,eth,1024,p2,json,dns_message,0.2,dt,,19760,4648,4151,20779,0.8216587620089991,0.8263978921835139,0.8095706325794821,0.8178977213932408
coaps,eth,1024,p2,json,dns_message,0.2,rf,"n_estimators=250,max_depth=9",23146,1262,4637,20293,0.8804369856905427,0.8330993773170644,0.9482956407735169,0.8869728497250484
