scenario,protocol,l2,l2_mode,setup,data format,DNS format,blocksize,SCHC fragments,DNS SCHC fragments,data SCHC fragments,blockwise frames,blockwise DNS frames,blockwise data frames,blockwise SCHC fragments,blockwise DNS SCHC fragments,blockwise data SCHC fragments,frames,requests,responses,DNS frames,data frames,other frames,DNS requests,DNS responses,data requests,data responses,other requests,other responses,all lengths mean,all lengths std,all lengths min,all lengths q.05,all lengths q.25,all lengths median,all lengths q.75,all lengths q.95,all lengths max,DNS lengths mean,DNS lengths std,DNS lengths min,DNS lengths q.05,DNS lengths q.25,DNS lengths median,DNS lengths q.75,DNS lengths q.95,DNS lengths max,data lengths mean,data lengths std,data lengths min,data lengths q.05,data lengths q.25,data lengths median,data lengths q.75,data lengths q.95,data lengths max
coap-d2_cbor_dns_message,coap,eth,none,d2,cbor,dns_message,1024,0,0,0,0,0,0,0,0,0,235071,117536,117535,117536,117535,0,58768,58768,58768,58767,0,0,176.76635569678947,132.33345615962526,58,75.0,120.0,134.0,193.0,419.0,1088,160.3803770759597,52.88803830822361,101,120.0,127.0,134.0,187.0,264.0,557,193.152473731229,178.01799016796184,58,69.0,91.0,131.0,205.0,619.0,1088
coap-d2_cbor_dns_message_b64,coap,eth,none,d2,cbor,dns_message,64,0,0,0,767664,324153,443511,0,0,0,792871,396436,396435,329498,463373,0,164749,164749,231687,231686,0,0,105.92337341131154,30.75596462248011,57,58.0,75.0,117.0,125.0,148.0,693,100.65055630079696,27.87540438093632,57,65.0,71.0,114.0,125.0,135.0,140,109.67279923517339,32.127856044551194,57,58.0,83.0,119.0,124.0,157.0,693
coap-d2_json_dns_cbor,coap,eth,none,d2,json,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235068,117534,117534,117534,117534,0,58767,58767,58767,58767,0,0,167.74763047288445,153.11814551606585,58,76.0,104.0,117.0,158.0,463.0,1090,124.44928276073307,38.0842939125353,72,80.0,106.0,115.0,133.0,207.0,446,211.0459781850358,204.18274480528297,58,72.0,93.0,137.0,207.0,698.0,1090
coap-d2_json_dns_cbor_b64,coap,eth,none,d2,json,dns_cbor,64,0,0,0,695661,185421,510240,0,0,0,736959,368480,368479,209476,527483,0,104738,104738,263742,263741,0,0,106.86848386409557,29.80331484143411,57,58.0,81.0,113.0,124.0,154.0,693,99.50192384807806,22.523555740429064,57,70.0,70.0,108.0,122.0,124.0,139,109.79391942489141,31.77114006858194,57,58.0,84.0,121.0,124.0,156.0,693
coap-d2_json_dns_message,coap,eth,none,d2,json,dns_message,1024,0,0,0,0,0,0,0,0,0,235071,117536,117535,117536,117535,0,58768,58768,58768,58767,0,0,185.97599874080598,151.2792276139381,58,77.0,121.0,135.0,194.0,464.0,1090,160.6221072692622,52.87960300829274,102,120.0,127.0,135.0,187.0,264.0,557,211.3301059258944,204.17946925208895,58,73.0,94.0,137.0,207.0,698.0,1090
coap-d2_json_dns_message_b64,coap,eth,none,d2,json,dns_message,64,0,0,0,834395,324153,510242,0,0,0,856983,428492,428491,329498,527485,0,164749,164749,263743,263742,0,0,106.25655934831846,30.65431769000828,57,58.0,77.0,119.0,125.0,150.0,693,100.65728775288468,27.875434713541125,57,65.0,71.0,114.0,125.0,135.0,140,109.75419206233353,31.772160936140022,57,58.0,84.0,121.0,124.0,156.0,693
coap-p1_cbor_dns_cbor,coap,eth,none,p1,cbor,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235100,117566,117534,117534,117534,32,58767,58767,58767,58767,32,0,162.2740791152701,132.61779003752844,52,78.0,105.0,123.0,154.0,417.0,1094,128.20864600881447,37.14262864968034,73,80.0,113.0,121.0,135.0,207.0,446,196.3695356237344,177.40923087110878,58,71.0,95.0,136.0,205.0,621.0,1094
coap-p1_cbor_dns_cbor_b64,coap,eth,none,p1,cbor,dns_cbor,64,0,0,0,540093,182470,357623,0,0,0,588587,294377,294210,207388,381033,166,103694,103694,190517,190516,166,0,113.32934638379713,54.293657720671625,52,76.0,86.0,118.0,124.0,152.0,1096,103.10391633074238,22.031645909319888,60,76.0,77.0,115.0,124.0,127.0,214,118.92154485307047,64.8035841276817,58,77.0,93.0,123.0,124.0,152.0,1096
coap-p1_cbor_dns_message,coap,eth,none,p1,cbor,dns_message,1024,0,0,0,0,0,0,0,0,0,235111,117576,117535,117536,117535,40,58768,58768,58768,58767,40,0,180.34574307454776,131.50335254599577,52,79.0,123.0,140.0,193.0,421.0,1094,164.23158861965695,50.924016840744535,102,123.0,133.0,141.0,187.0,265.0,557,196.50371378738248,177.40576873487484,58,71.0,95.0,136.0,205.0,621.0,1094
coap-p1_cbor_dns_message_b64,coap,eth,none,p1,cbor,dns_message,64,0,0,0,657186,299565,357621,0,0,0,686677,343707,342970,304910,381031,736,152455,152455,190516,190515,736,0,113.52196738786941,51.7669827800765,52,75.0,85.0,123.0,125.0,152.0,1096,106.7152504017579,26.339063372273223,61,70.0,78.0,124.0,125.0,142.0,229,119.08769890113928,64.79924603399796,58,77.0,93.0,123.0,124.0,152.0,1096
coap-p1_json_dns_cbor,coap,eth,none,p1,json,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235601,118066,117535,117536,117535,530,58768,58768,58768,58767,530,0,171.03817471063365,152.41283451543129,52,78.0,107.0,123.0,161.0,467.0,1096,128.25815920228695,37.139799368255396,73,80.0,113.0,121.0,135.0,207.0,446,214.35533245416258,203.50592817671063,58,76.0,98.0,142.0,207.0,698.0,1096
coap-p1_json_dns_cbor_b64,coap,eth,none,p1,json,dns_cbor,64,0,0,0,593517,182470,411047,0,0,0,639999,320289,319710,207388,432033,578,103694,103694,216017,216016,578,0,114.10314391116236,57.12650676540844,52,76.0,87.0,119.0,124.0,152.0,1098,103.21206145003568,22.030325608598904,60,76.0,77.0,115.0,124.0,127.0,214,119.41425539252789,67.16448903433471,58,77.0,93.0,123.0,124.0,152.0,1098
coap-p1_json_dns_message,coap,eth,none,p1,json,dns_message,1024,0,0,0,0,0,0,0,0,0,235282,117747,117535,117537,117535,210,58769,58768,58768,58767,210,0,188.74590916432197,150.43840087355238,52,80.0,124.0,141.0,195.0,467.0,1096,163.76415086313247,50.93953369430701,101,122.0,133.0,140.0,187.0,264.0,557,213.9724167269324,203.50838289117317,58,75.0,97.0,142.0,207.0,698.0,1096
coap-p1_json_dns_message_b64,coap,eth,none,p1,json,dns_message,64,0,0,0,710616,299565,411051,0,0,0,737619,369146,368473,304910,432037,672,152455,152455,216019,216018,672,0,114.10868212451143,54.51502789635295,52,76.0,86.0,123.0,125.0,152.0,1098,106.68608113869666,26.33871344185445,61,70.0,78.0,124.0,125.0,142.0,229,119.44378606461946,67.16383304460747,58,77.0,93.0,123.0,124.0,152.0,1098
coap-p2_cbor_dns_cbor,coap,eth,none,p2,cbor,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235106,117572,117534,117534,117534,38,58767,58767,58767,58767,38,0,161.81658060619466,132.70052403097284,52,77.0,105.0,122.0,154.0,417.0,1094,127.50388823659537,37.26647225733931,72,80.0,112.0,120.0,134.0,207.0,446,196.1647778515153,177.41147868224672,58,71.0,94.0,136.0,205.0,620.0,1094
coap-p2_cbor_dns_cbor_b64,coap,eth,none,p2,cbor,dns_cbor,64,0,0,0,540095,182470,357625,0,0,0,588585,294374,294211,207388,381035,162,103694,103694,190518,190517,162,0,113.25150997731848,54.32800492365533,52,75.0,86.0,118.0,124.0,152.0,1096,102.70254305938627,22.053097096499638,60,75.0,76.0,114.0,124.0,126.0,213,119.01909535869409,64.80052564889074,58,77.0,93.0,123.0,124.0,152.0,1096
coap-p2_cbor_dns_message,coap,eth,none,p2,cbor,dns_message,1024,0,0,0,0,0,0,0,0,0,235107,117572,117535,117536,117535,36,58768,58768,58768,58767,36,0,179.58205412854574,131.59052120820346,52,79.0,122.0,139.0,193.0,421.0,1094,163.2156105363463,51.208370459027726,101,122.0,132.0,139.0,187.0,264.0,557,195.9877142978687,177.40747131690944,58,71.0,94.0,136.0,205.0,620.0,1094
coap-p2_cbor_dns_message_b64,coap,eth,none,p2,cbor,dns_message,64,0,0,0,657186,299565,357621,0,0,0,686695,343725,342970,304910,381031,754,152455,152455,190516,190515,754,0,113.20052279396239,51.82232921019073,52,75.0,85.0,123.0,125.0,152.0,1096,106.11591617198518,26.44243276819345,61,70.0,77.0,124.0,125.0,141.0,228,118.99089837834717,64.80196405109862,58,77.0,93.0,123.0,124.0,152.0,1096
coap-p2_json_dns_cbor,coap,eth,none,p2,json,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235551,118016,117535,117536,117535,480,58768,58768,58768,58767,480,0,170.54499874761729,152.50667681547512,52,78.0,107.0,122.0,161.0,467.0,1096,127.48865879390144,37.267024930441394,72,80.0,112.0,120.0,134.0,207.0,446,214.08582975283957,203.50926205025837,58,75.0,97.0,142.0,207.0,698.0,1096
coap-p2_json_dns_cbor_b64,coap,eth,none,p2,json,dns_cbor,64,0,0,0,593517,182470,411047,0,0,0,639929,320219,319710,207388,432033,508,103694,103694,216017,216016,508,0,114.01471100700233,57.15895396862513,52,76.0,87.0,119.0,124.0,152.0,1098,102.77949061662198,22.051180953878465,60,75.0,76.0,114.0,124.0,126.0,213,119.48085215712689,67.16325644349587,58,77.0,93.0,124.0,124.0,152.0,1098
coap-p2_json_dns_message,coap,eth,none,p2,json,dns_message,1024,0,0,0,0,0,0,0,0,0,235269,117734,117535,117537,117536,196,58769,58768,58769,58767,196,0,188.94049789815062,150.52208664135898,52,81.0,125.0,140.0,195.0,468.0,1096,163.70111539345058,51.194704335897704,102,123.0,132.0,140.0,187.0,265.0,557,214.4084535801797,203.50457896427065,58,76.0,98.0,142.0,207.0,698.0,1096
coap-p2_json_dns_message_b64,coap,eth,none,p2,json,dns_message,64,0,0,0,710616,299565,411051,0,0,0,737547,369074,368473,304910,432037,600,152455,152455,216019,216018,600,0,113.91772592119553,54.563541788744054,52,76.0,86.0,124.0,125.0,152.0,1098,106.19511987143747,26.442671307427798,61,70.0,77.0,124.0,125.0,141.0,228,119.45394260213824,67.16345224803192,58,77.0,93.0,124.0,124.0,152.0,1098
coaps-d1_cbor_dns_cbor,coaps,eth,none,d1,cbor,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235080,117535,117535,117536,117534,10,58768,58768,58767,58767,0,0,188.11203845499404,133.1365445828025,62,104.0,131.0,146.0,181.0,444.0,1117,154.0356061121699,37.92978783144296,101,109.0,136.0,145.0,162.0,236.0,475,222.19666649650313,178.01742779378785,87,98.0,120.0,160.0,234.0,648.0,1117
coaps-d1_cbor_dns_cbor_b64,coaps,eth,none,d1,cbor,dns_cbor,64,0,0,0,540095,182470,357625,0,0,0,588433,294212,294211,207388,381035,10,103694,103694,190518,190517,0,0,139.38429523837038,54.17262944902217,62,100.0,112.0,142.0,153.0,175.0,1119,129.14191274326384,22.334609233531527,89,99.0,100.0,138.0,152.0,153.0,237,144.96004304066557,64.59315052914654,87,100.0,117.0,151.0,153.0,175.0,1119
coaps-d1_cbor_dns_message,coaps,eth,none,d1,cbor,dns_message,1024,0,0,0,0,0,0,0,0,0,235081,117536,117535,117536,117535,10,58768,58768,58768,58767,0,0,206.22058354354456,132.2414194489295,62,104.0,149.0,164.0,222.0,448.0,1117,190.08918118704057,52.5918319582522,131,150.0,157.0,164.0,216.0,293.0,586,222.36127961883693,178.01588572895608,87,98.0,120.0,160.0,234.0,648.2999999999884,1117
coaps-d1_cbor_dns_message_b64,coaps,eth,none,d1,cbor,dns_message,64,0,0,0,657189,299565,357624,0,0,0,685954,342972,342972,304910,381034,10,152455,152455,190517,190517,0,0,139.5725398496109,51.78334379064663,62,100.0,109.0,151.0,154.0,175.0,1119,132.70031484700402,27.09493782582068,90,99.0,101.0,152.0,154.0,165.0,252,145.07288850863702,64.58955107010783,87,100.0,117.0,151.0,153.0,175.0,1119
coaps-d1_json_dns_cbor,coaps,eth,none,d1,json,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235081,117536,117535,117536,117535,10,58768,58768,58768,58767,0,0,197.10989829037652,153.0249881974731,62,105.0,133.0,147.0,187.0,492.0,1119,154.06570752790634,37.928264223995775,101,109.0,136.0,145.0,162.0,236.0,475,240.16283660186326,204.18088359767725,87,101.0,122.0,166.0,236.0,727.0,1119
coaps-d1_json_dns_cbor_b64,coaps,eth,none,d1,json,dns_cbor,64,0,0,0,593516,182470,411046,0,0,0,639430,319710,319710,207388,432032,10,103694,103694,216016,216016,0,0,140.15583253835447,57.03183738360492,62,100.0,113.0,144.0,153.0,175.0,1121,129.2092358284954,22.333724619745325,89,99.0,100.0,138.0,152.0,153.0,237,145.41148109399305,67.0032346568264,87,103.0,117.0,152.0,153.0,175.0,1121
coaps-d1_json_dns_message,coaps,eth,none,d1,json,dns_message,1024,0,0,0,0,0,0,0,0,0,235083,117536,117536,117536,117536,11,58768,58768,58768,58768,0,0,215.25642007291043,151.18581556552556,62,106.0,151.0,165.0,223.0,493.0,1119,190.15710931118977,52.58950310803756,131,150.0,157.0,165.0,216.0,294.0,586,240.3668152736183,204.17906423543428,87,102.0,123.0,166.0,236.0,727.0,1119
coaps-d1_json_dns_message_b64,coaps,eth,none,d1,json,dns_message,64,0,0,0,710611,299565,411046,0,0,0,736952,368471,368471,304910,432032,10,152455,152455,216016,216016,0,0,140.20975043150708,54.54411473860417,62,100.0,110.0,152.0,154.0,175.0,1121,132.7297923977567,27.095322511310616,90,99.0,101.0,152.0,154.0,165.0,252,145.48975307384637,67.00186305276003,87,103.0,117.0,152.0,153.0,175.0,1121
coaps-d2_cbor_dns_cbor,coaps,eth,none,d2,cbor,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235251,117536,117536,117536,117536,179,58768,58768,58768,58768,0,0,187.87787512061584,133.19988207148077,62,104.0,131.0,145.0,181.0,444.0,1117,153.6167557173972,38.075037219659166,101,109.0,136.0,144.0,162.0,236.0,475,222.2797951265995,178.0185856677092,87,98.0,120.0,160.0,234.0,648.0,1117
coaps-d2_cbor_dns_cbor_b64,coaps,eth,none,d2,cbor,dns_cbor,64,0,0,0,540096,182470,357626,0,0,0,589596,294212,294212,207388,381036,1172,103694,103694,190518,190518,0,0,139.11759238529433,54.21167736485619,62,99.0,112.0,142.0,153.0,175.0,1119,128.6378334329855,22.42392279802665,89,98.0,100.0,137.0,151.0,153.0,236,144.95595429303268,64.59306753892967,87,100.0,117.0,151.0,153.0,175.0,1119
coaps-d2_cbor_dns_message,coaps,eth,none,d2,cbor,dns_message,1024,0,0,0,0,0,0,0,0,0,235247,117536,117535,117536,117535,176,58768,58768,58768,58767,0,0,205.82276075784176,132.31860750110837,62,104.0,149.0,163.0,222.0,448.0,1117,189.5192281513749,52.88231620659817,131,149.0,156.0,163.0,216.0,293.0,586,222.29132598800356,178.017679248895,87,98.0,120.0,160.0,234.0,648.0,1117
coaps-d2_cbor_dns_message_b64,coaps,eth,none,d2,cbor,dns_message,64,0,0,0,657193,299565,357628,0,0,0,686724,342974,342974,304910,381038,776,152455,152455,190519,190519,0,0,139.31622748003565,51.847736328116596,62,100.0,109.0,151.0,154.0,175.0,1119,132.215453740448,27.251313680762557,90,99.0,100.0,151.0,154.0,164.0,251,145.0877314073662,64.58885162971049,87,100.0,117.0,151.0,153.0,175.0,1119
coaps-d2_json_dns_cbor,coaps,eth,none,d2,json,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235451,117536,117535,117536,117535,380,58768,58768,58768,58767,0,0,196.82677075060204,153.04998834311198,62,105.0,133.0,146.0,187.0,492.0,1119,153.69217090933842,38.07191336060299,102,109.0,136.0,144.0,162.0,236.0,475,240.2893180754669,204.18248117544258,87,102.0,122.0,166.0,236.0,727.0,1119
coaps-d2_json_dns_cbor_b64,coaps,eth,none,d2,json,dns_cbor,64,0,0,0,593520,182470,411050,0,0,0,644140,319712,319712,207388,432036,4716,103694,103694,216018,216018,0,0,139.76171639705655,57.0300046034976,62,99.0,113.0,143.0,153.0,175.0,1121,128.80462225393947,22.420619145983082,89,99.0,100.0,137.0,151.0,153.0,236,145.50636289568462,67.00145340622055,88,103.0,117.0,153.0,153.0,175.0,1121
coaps-d2_json_dns_message,coaps,eth,none,d2,json,dns_message,1024,0,0,0,0,0,0,0,0,0,235417,117536,117536,117536,117536,345,58768,58768,58768,58768,0,0,214.43304009481048,151.2438117242125,62,105.0,150.0,164.0,223.0,492.0,1119,189.25277361829566,52.89293271491719,130,149.0,156.0,163.0,216.0,293.0,586,239.9624795807242,204.1811836639479,87,101.0,122.0,166.0,236.0,727.0,1119
coaps-d2_json_dns_message_b64,coaps,eth,none,d2,json,dns_message,64,0,0,0,710615,299565,411050,0,0,0,739702,368473,368473,304910,432036,2756,152455,152455,216018,216018,0,0,139.80517694963646,54.59160567630944,62,100.0,109.0,152.0,154.0,175.0,1121,132.19846512085533,27.251020394787258,90,99.0,100.0,151.0,154.0,164.0,251,145.4571632919479,67.00211213701904,87,103.0,117.0,152.0,153.0,175.0,1121
coaps-p1_cbor_dns_cbor,coaps,eth,none,p1,cbor,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235430,117884,117536,117536,117536,358,58768,58768,58768,58768,348,0,191.34545724843903,132.51189978645354,62,106.0,134.0,153.0,183.0,446.0,1124,157.43124659678736,37.04855440546473,101,109.0,143.0,151.0,164.0,236.0,475,225.5942689899265,177.31280937675677,87,100.0,124.0,165.0,234.0,649.0,1124
coaps-p1_cbor_dns_cbor_b64,coaps,eth,none,p1,cbor,dns_cbor,64,0,0,0,540094,182470,357624,0,0,0,589660,295439,294211,207388,381034,1238,103694,103694,190517,190517,1228,0,142.88858494725775,54.34010180832192,62,106.0,116.0,148.0,153.0,182.0,1126,132.7775811522364,22.017538323724764,89,106.0,107.0,145.0,153.0,157.0,244,148.59238808085368,64.84730175216653,87,107.0,123.0,153.0,153.0,182.0,1126
coaps-p1_cbor_dns_message,coaps,eth,none,p1,cbor,dns_message,1024,0,0,0,0,0,0,0,0,0,242029,124484,117535,117536,117535,6958,58768,58768,58768,58767,6948,0,206.1617698705527,131.26299268195757,62,98.0,149.0,170.0,222.0,444.0,1124,193.72976790089845,50.658710722189184,131,152.0,163.0,171.0,216.0,294.0,586,226.00188029097717,177.30942985402774,87,100.0,125.0,166.0,234.0,650.0,1124
coaps-p1_cbor_dns_message_b64,coaps,eth,none,p1,cbor,dns_message,64,0,0,0,657192,299565,357627,0,0,0,687177,344194,342973,304910,381037,1230,152455,152455,190519,190518,1220,0,142.99557319293282,51.78754602564487,62,104.0,115.0,153.0,154.0,182.0,1126,136.23280312223278,26.244446148455683,90,99.0,108.0,153.0,154.0,172.0,259,148.60687807220822,64.84687921540103,87,107.0,123.0,153.0,153.0,182.0,1126
coaps-p1_json_dns_cbor,coaps,eth,none,p1,json,dns_cbor,1024,0,0,0,0,0,0,0,0,0,235749,118204,117535,117536,117535,678,58768,58768,58768,58767,668,0,200.27764274715906,152.31189289365616,62,107.0,136.0,153.0,190.0,496.0,1126,157.5725139531718,37.042688236769486,101,109.0,143.0,151.0,164.0,236.0,475,243.66968987961033,203.39968645066645,87,105.0,127.0,172.0,236.0,727.0,1126
coaps-p1_json_dns_cbor_b64,coaps,eth,none,p1,json,dns_cbor,64,0,0,0,593516,182470,411046,0,0,0,640662,320942,319710,207388,432032,1242,103694,103694,216016,216016,1232,0,143.56736625552944,57.16247685202781,62,106.0,117.0,149.0,153.0,182.0,1128,132.7428539741933,22.018410613712255,89,106.0,107.0,145.0,153.0,157.0,244,148.94290932153174,67.20398410565072,87,107.0,123.0,153.0,153.0,182.0,1128
coaps-p1_json_dns_message,coaps,eth,none,p1,json,dns_message,1024,0,0,0,0,0,0,0,0,0,235311,117764,117536,117536,117536,239,58768,58768,58768,58768,228,0,218.42697111482252,150.31809956219675,62,110.0,154.0,171.0,224.0,497.0,1126,193.46110127960796,50.667252186851385,131,152.0,163.0,170.0,216.0,293.0,586,243.6708072420365,203.39959488739342,87,105.0,127.0,172.0,236.0,727.0,1126
coaps-p1_json_dns_message_b64,coaps,eth,none,p1,json,dns_message,64,0,0,0,710615,299565,411050,0,0,0,737988,369505,368473,304910,432036,1042,152455,152455,216018,216018,1032,0,143.5686826886074,54.52978792557428,62,106.0,116.0,152.0,154.0,182.0,1128,136.177639303401,26.24390164295501,90,99.0,108.0,153.0,154.0,172.0,259,148.93541973354073,67.20398256929856,87,107.0,123.0,152.0,153.0,182.0,1128
