protocol,link_layer,blocksize,network_setup,data_format,dns_format,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
coaps,eth,1024,d1,cbor,dns_message,0.2,nb,,23055,1125,14311,10633,0.6857747740412019,0.6170047636889151,0.9534739454094293,0.7491957235238683
coaps,eth,1024,d1,cbor,dns_message,0.2,lr,max_iter=2800,22569,1739,4401,20415,0.8750101783242407,0.8368186874304783,0.9284597663320717,0.8802605405827061
coaps,eth,1024,d1,cbor,dns_message,0.2,knn,"algorithm=brute,n_jobs=-1",20892,3288,5251,19693,0.8261745786173764,0.799143174081016,0.8640198511166253,0.8303161576217634
coaps,eth,1024,d1,cbor,dns_message,0.2,dt,,19964,4216,3824,21120,0.8363325462095921,0.839246678997814,0.8256410256410256,0.8323882588392262
coaps,eth,1024,d1,cbor,dns_message,0.2,rf,"n_estimators=250,max_depth=9",23042,1138,4532,20412,0.8845778031104959,0.8356422717052295,0.9529363110008271,0.8904432507632261
