protocol,abs,user,system,logs,cores
coaps,186444.012,165.188,50.744,80,24
coap,147247.694,40.245,11.081,32,4
https,76112.738,21.117,6.256,16,4
oscore,227737.983,127.422,35.801,80,8
oscore-base,249917.376,182.598,46.241,88,8
extract_from_pcap,4124.645,87119.866,1300.923,,24
generate_training_data,715.715,,,,12
generate_binvec,173446.603,677760.032,1683011.659,,16
