protocol,link_layer,blocksize,network_setup,data_format,dns_format,test_size,classifier,classifier_args,true_data,false_data,false_dns,true_dns,accuracy,precision,recall,f1_score
oscore,eth,1024,p1,json,dns_cbor,0.2,nb,,14249,12512,4544,19616,0.6650497829971918,0.6105577689243028,0.8119205298013245,0.6969869243888573
oscore,eth,1024,p1,json,dns_cbor,0.2,lr,max_iter=2600,21591,5170,3077,21083,0.8380432434555488,0.8030701253190111,0.8726407284768212,0.8364112431317319
oscore,eth,1024,p1,json,dns_cbor,0.2,knn,"algorithm=brute,n_jobs=-1",19729,7032,3561,20599,0.791971878007109,0.7455032391154862,0.8526076158940398,0.7954663937749802
oscore,eth,1024,p1,json,dns_cbor,0.2,dt,,21759,5002,5378,18782,0.7961548280670058,0.789690548267743,0.7774006622516556,0.7834974136492575
oscore,eth,1024,p1,json,dns_cbor,0.2,rf,"n_estimators=250,max_depth=9",21640,5121,1971,22189,0.8607254374423126,0.8124862687660198,0.9184188741721855,0.8622109966971051
