protocol,link_layer,blocksize,network_setup,data_format,dns_format,test_size,classifier,classifier_args,true_data,false_data,false_dns,true_dns,accuracy,precision,recall,f1_score
oscore,eth,1024,d2,cbor,dns_message,0.2,nb,,24939,0,724,23497,0.9852725793327909,1.0,0.9701085834606333,0.9848275283959931
oscore,eth,1024,d2,cbor,dns_message,0.2,lr,max_iter=2600,24939,0,0,24221,1.0,1.0,1.0,1.0
oscore,eth,1024,d2,cbor,dns_message,0.2,knn,"algorithm=brute,n_jobs=-1",24939,0,0,24221,1.0,1.0,1.0,1.0
oscore,eth,1024,d2,cbor,dns_message,0.2,dt,,24939,0,0,24221,1.0,1.0,1.0,1.0
oscore,eth,1024,d2,cbor,dns_message,0.2,rf,"n_estimators=250,max_depth=9",24939,0,0,24221,1.0,1.0,1.0,1.0
