protocol,link_layer,blocksize,network_setup,data_format,dns_format,test_size,classifier,classifier_args,true_dns,false_dns,false_data,true_data,accuracy,precision,recall,f1_score
oscore-base,schc,64,p1,cbor,dns_cbor,0.2,nb,,31571,10935,40790,50181,0.6124800527431692,0.43629855861582895,0.7427422011010211,0.5496966056395658
oscore-base,schc,64,p1,cbor,dns_cbor,0.2,lr,max_iter=5000,24816,17690,9983,80988,0.7926758917266645,0.7131239403431133,0.5838234602173811,0.642028329344803
oscore-base,schc,64,p1,cbor,dns_cbor,0.2,knn,algorithm=brute,27310,15196,12619,78352,0.7916120380290237,0.6839640361641914,0.6424975297605044,0.6625826408685631
oscore-base,schc,64,p1,cbor,dns_cbor,0.2,dt,,27145,15361,15903,75068,0.7657723802602696,0.6305751719011337,0.6386157248388463,0.6345699791944269
oscore-base,schc,64,p1,cbor,dns_cbor,0.2,rf,"n_estimators=250,max_depth=9",27655,14851,10118,80853,0.8129340635465286,0.7321367114076192,0.650614030960335,0.688972209419649
